atom-q          SZV-MOLOPT      DZVP-MOLOPT     TZVP-MOLOPT     TZV2P-MOLOPT    TZV2PX-MOLOPT   SZV-MOLOPT-SR   SZVP-MOLOPT-SR  DZV-MOLOPT-SR   DZVP-MOLOPT-SR  DZVPd-MOLOPT-SR TZVP-MOLOPT-SR  TZVPd-MOLOPT-SR TZV2P-MOLOPT-SR TZV2Pd-MOLOPT-SR                

H-q1            ORG(11.5)       ORG(11.5)       ORG(11.5)       ORG(11.5)       ORG(11.5)       ORG(10.1)       x               x               ORG(10.1)       x               x               x               x               x               
He-q2           x               x               x               x               x               ORG(11.0)       x               x               ORG(11.0)       x               x               x               x               x               
Li-q3           x               x               x               x               x               ORG(7.1)        x               x               ORG(7.1)        x               UCL(7.1)        x               UCL(7.1)        x               
Be-q4           x               x               x               x               x               ORG(14.9)       x               x               ORG(14.9)       x               UCL(14.9)       x               UCL(14.9)       x               
B-q3            x               x               x               x               x               ORG(3.1)        x               x               ORG(3.1)        x               UCL(3.1)        x               UCL(3.1)        x               
C-q4            ORG(6.1)        ORG(6.1)        ORG(6.1)        ORG(6.1)        ORG(6.1)        ORG(5.6)        x               x               ORG(5.6)        x               x               x               x               x               
N-q5            ORG(9.0)        ORG(9.0)        ORG(9.0)        ORG(9.0)        ORG(9.0)        ORG(7.3)        x               x               ORG(7.3)        x               x               x               x               x               
O-q6            ORG(12.0)       ORG(12.0)       ORG(12.0)       ORG(12.0)       ORG(12.0)       ORG(10.4)       x               x               ORG(10.4)       x               x               x               x               x               
F-q7            ORG(15.0)       ORG(15.0)       ORG(15.0)       ORG(15.0)       ORG(15.0)       ORG(13.7)       x               x               ORG(13.7)       x               x               x               x               x               
Ne-q8           x               x               x               x               x               ORG(19.1)       x               x               ORG(19.1)       x               x               x               x               x               
Na-q9           x               x               x               x               x               ORG(23.5)       x               x               ORG(23.5)       UCL(23.5)       x               UCL(23.5)       x               UCL(23.5)       
Mg-q2           x               x               x               x               x               UCL(1.5)        x               x               UCL(1.5)        x               UCL(1.5)        x               UCL(1.5)        x               
Mg-q10          x               x               x               x               x               ORG(30.7)       x               x               ORG(30.7)       UCL(30.7)       x               UCL(30.7)       x               UCL(30.7)       
Al-q3           x               x               x               x               x               ORG(1.2)        x               x               ORG(1.2)        x               UCL(1.2)        x               UCL(1.2)        x               
Si-q4           ORG(2.7)        ORG(2.7)        ORG(2.7)        ORG(2.7)        ORG(2.7)        ORG(1.3)        x               x               ORG(1.3)        x               x               x               x               x               
P-q5            ORG(3.3)        ORG(3.3)        ORG(3.3)        ORG(3.3)        ORG(3.3)        ORG(1.6)        x               x               ORG(1.6)        x               x               x               x               x               
S-q6            ORG(3.8)        ORG(3.8)        ORG(3.8)        ORG(3.8)        ORG(3.8)        ORG(2.2)        x               x               ORG(2.2)        x               x               x               x               x               
Cl-q7           ORG(4.6)        ORG(4.6)        ORG(4.6)        ORG(4.6)        ORG(4.6)        ORG(2.4)        x               x               ORG(2.4)        x               x               x               x               x               
Ar-q8           x               x               x               x               x               ORG(3.9)        x               x               ORG(3.9)        x               x               x               x               x               
K-q9            x               x               x               x               x               ORG(2.9)        x               x               ORG(2.9)        x               UCL(2.9)        x               UCL(2.9)        x               
Ca-q10          x               x               x               x               x               ORG(5.3)        x               x               ORG(5.3)        x               UCL(5.3)        x               UCL(5.3)        x               
Sc-q11          x               x               x               x               x               ORG(7.6)        x               x               ORG(7.6)        x               UCL(7.6)        x               UCL(7.6)        x               
Ti-q12          x               x               x               x               x               ORG(7.9)        x               x               ORG(7.9)        x               UCL(7.9)        x               UCL(7.9)        x               
V-q13           x               x               x               x               x               ORG(8.0)        x               x               ORG(8.0)        x               UCL(8.0)        x               UCL(8.0)        x               
Cr-q14          x               x               x               x               x               ORG(8.5)        x               x               ORG(8.5)        x               UCL(8.5)        x               UCL(8.5)        x               
Mn-q15          x               x               x               x               x               ORG(8.5)        x               x               ORG(8.5)        x               UCL(8.5)        x               UCL(8.5)        x               
Fe-q16          x               x               x               x               x               ORG(8.4)        x               x               ORG(8.4)        x               UCL(8.4)        x               UCL(8.4)        x               
Co-q17          x               x               x               x               x               ORG(8.4)        x               x               ORG(8.4)        x               UCL(8.4)        x               UCL(8.4)        x               
Ni-q18          x               x               x               x               x               ORG(10.1)       x               x               ORG(10.1)       x               UCL(10.1)       x               UCL(10.1)       x               
Cu-q11          UCL(15.9)       UCL(15.9)       x               x               x               ORG(5.8)        x               x               ORG(5.8)        x               UCL(5.8)        x               UCL(5.8)        x               
Zn-q12          x               x               x               x               x               ORG(6.4)        x               x               ORG(6.4)        x               UCL(6.4)        x               UCL(6.4)        x               
Ga-q13          x               x               x               x               x               ORG(7.1)        x               x               ORG(7.1)        x               UCL(7.1)        x               UCL(7.1)        x               
Ge-q4           x               x               x               x               x               ORG(3.8)        x               x               ORG(3.8)        x               UCL(3.8)        x               UCL(3.8)        x               
As-q5           x               x               x               x               x               ORG(1.1)        x               x               ORG(1.1)        x               UCL(1.1)        x               UCL(1.1)        x               
Se-q6           x               x               x               x               x               ORG(1.5)        x               x               ORG(1.5)        x               UCL(1.5)        x               UCL(1.5)        x               
Br-q7           UCL(2.9)        UCL(2.9)        UCL(2.9)        UCL(2.9)        UCL(2.9)        ORG(1.7)        x               x               ORG(1.7)        x               UCL(1.7)        x               UCL(1.7)        x               
Kr-q8           x               x               x               x               x               ORG(1.8)        x               x               ORG(1.8)        x               x               x               x               x               
Rb-q9           x               x               x               x               x               ORG(7.1)        x               x               ORG(7.1)        x               UCL(7.1)        x               UCL(7.1)        x               
Sr-q10          x               x               x               x               x               ORG(7.3)        x               x               ORG(7.3)        x               UCL(7.3)        x               UCL(7.3)        x               
Y-q11           x               x               x               x               x               ORG(7.2)        x               x               ORG(7.2)        x               UCL(7.2)        x               UCL(7.2)        x               
Zr-q12          x               x               x               x               x               ORG(7.6)        x               x               ORG(7.6)        x               UCL(7.6)        x               UCL(7.6)        x               
Nb-q13          x               x               x               x               x               ORG(3.4)        x               x               ORG(3.4)        x               UCL(3.4)        x               UCL(3.4)        x               
Mo-q14          x               x               x               x               x               ORG(2.5)        x               x               ORG(2.5)        x               UCL(2.5)        x               UCL(2.5)        x               
Tc-q15          x               x               x               x               x               ORG(3.2)        x               x               ORG(3.2)        x               UCL(3.2)        x               UCL(3.2)        x               
Ru-q16          x               x               x               x               x               ORG(2.8)        x               x               ORG(2.8)        x               UCL(2.8)        x               UCL(2.8)        x               
Rh-q9           x               x               x               x               x               ORG(3.9)        ORG(3.9)        x               ORG(3.9)        x               UCL(3.9)        x               UCL(3.9)        x               
Rh-q17          x               x               x               x               x               ORG(3.2)        x               x               ORG(3.2)        x               UCL(3.2)        x               UCL(3.2)        x               
Pd-q18          x               x               x               x               x               ORG(3.4)        x               x               ORG(3.4)        x               UCL(3.4)        x               UCL(3.4)        x               
Ag-q11          x               x               x               x               x               ORG(2.6)        x               x               ORG(2.6)        x               UCL(2.6)        x               UCL(2.6)        x               
Cd-q12          x               x               x               x               x               ORG(2.6)        x               x               ORG(2.6)        x               UCL(2.6)        x               UCL(2.6)        x               
In-q13          x               x               x               x               x               ORG(3.1)        x               x               ORG(3.1)        x               UCL(3.1)        x               UCL(3.1)        x               
Sn-q4           x               x               x               x               x               ORG(0.7)        x               x               ORG(0.7)        x               UCL(0.7)        x               UCL(0.7)        x               
Sb-q5           x               x               x               x               x               ORG(0.8)        x               x               ORG(0.8)        x               UCL(0.8)        x               UCL(0.8)        x               
Te-q6           x               x               x               x               x               ORG(0.9)        x               x               ORG(0.9)        x               UCL(0.9)        x               UCL(0.9)        x               
I-q7            x               x               x               x               x               ORG(1.0)        x               x               ORG(1.0)        x               UCL(1.0)        x               UCL(1.0)        x               
Xe-q8           x               x               x               x               x               ORG(1.1)        x               x               ORG(1.1)        x               x               x               x               x               
Cs-q9           x               x               x               x               x               ORG(1.0)        x               x               ORG(1.0)        x               UCL(1.0)        x               UCL(1.0)        x               
Ba-q10          x               x               x               x               x               ORG(1.1)        x               x               ORG(1.1)        x               UCL(1.1)        x               UCL(1.1)        x               
La-q11          x               x               x               x               x               x               x               x               UCL(2.6)        x               UCL(2.6)        x               UCL(2.6)        x               
Ce-q12          x               x               x               x               x               UCL(4.3)        x               x               UCL(4.3)        x               UCL(4.3)        x               UCL(4.3)        x               
Ce-q30          x               x               x               x               x               UCL(18.9)       x               UCL(18.9)       UCL(18.9)       x               UCL(18.9)       x               UCL(18.9)       x               
Pr-q13          x               x               x               x               x               UCL(4.5)        x               x               UCL(4.5)        x               UCL(4.5)        x               UCL(4.5)        x               
Nd-q14          x               x               x               x               x               UCL(4.7)        x               x               UCL(4.7)        x               UCL(4.7)        x               UCL(4.7)        x               
Pm-q15          x               x               x               x               x               UCL(4.9)        x               x               UCL(4.9)        x               UCL(4.9)        x               UCL(4.9)        x               
Sm-q16          x               x               x               x               x               UCL(5.2)        x               x               UCL(5.2)        x               UCL(5.2)        x               UCL(5.2)        x               
Eu-q17          x               x               x               x               x               UCL(5.4)        x               x               UCL(5.4)        x               UCL(5.4)        x               UCL(5.4)        x               
Gd-q18          x               x               x               x               x               UCL(5.5)        x               x               UCL(5.5)        x               UCL(5.5)        x               UCL(5.5)        x               
Tb-q19          x               x               x               x               x               UCL(5.8)        x               x               UCL(5.8)        x               UCL(5.8)        x               UCL(5.8)        x               
Dy-q20          x               x               x               x               x               UCL(6.2)        x               x               UCL(6.2)        x               UCL(6.2)        x               UCL(6.2)        x               
Ho-q21          x               x               x               x               x               UCL(6.5)        x               x               UCL(6.5)        x               UCL(6.5)        x               UCL(6.5)        x               
Er-q22          x               x               x               x               x               UCL(6.9)        x               x               UCL(6.9)        x               UCL(6.9)        x               UCL(6.9)        x               
Tm-q23          x               x               x               x               x               UCL(7.2)        x               x               UCL(7.2)        x               UCL(7.2)        x               UCL(7.2)        x               
Yb-q24          x               x               x               x               x               UCL(7.6)        x               x               UCL(7.6)        x               UCL(7.6)        x               UCL(7.6)        x               
Lu-q25          x               x               x               x               x               UCL(7.8)        x               x               UCL(7.8)        x               UCL(7.8)        x               UCL(7.8)        x               
Hf-q12          x               x               x               x               x               ORG(2.7)        x               x               ORG(2.7)        x               UCL(2.7)        x               UCL(2.7)        x               
Ta-q13          x               x               x               x               x               ORG(2.9)        x               x               ORG(2.9)        x               UCL(2.9)        x               UCL(2.9)        x               
W-q14           x               x               x               x               x               ORG(3.1)        x               x               ORG(3.1)        x               UCL(3.1)        x               UCL(3.1)        x               
Re-q15          x               x               x               x               x               ORG(3.2)        x               x               ORG(3.2)        x               UCL(3.2)        x               UCL(3.2)        x               
Os-q16          x               x               x               x               x               ORG(3.3)        x               x               ORG(3.3)        x               UCL(3.3)        x               UCL(3.3)        x               
Ir-q17          x               x               x               x               x               ORG(3.4)        x               x               ORG(3.4)        x               UCL(3.4)        x               UCL(3.4)        x               
Pt-q18          x               x               x               x               x               ORG(3.6)        x               x               ORG(3.6)        x               UCL(3.6)        x               UCL(3.6)        x               
Au-q11          x               x               x               x               x               ORG(3.0)        x               x               ORG(3.0)        x               UCL(3.0)        x               UCL(3.0)        x               
Hg-q12          x               x               x               x               x               ORG(3.0)        x               x               ORG(3.0)        x               UCL(3.0)        x               UCL(3.0)        x               
Tl-q13          x               x               x               x               x               ORG(3.4)        x               x               ORG(3.4)        x               UCL(3.4)        x               UCL(3.4)        x               
Pb-q4           x               x               x               x               x               ORG(1.9)        x               x               ORG(1.9)        x               UCL(1.9)        x               UCL(1.9)        x               
Bi-q5           x               x               x               x               x               ORG(1.7)        x               x               ORG(1.7)        x               UCL(1.7)        x               UCL(1.7)        x               
Po-q6           x               x               x               x               x               ORG(1.8)        x               x               ORG(1.8)        x               UCL(1.8)        x               UCL(1.8)        x               
At-q7           x               x               x               x               x               ORG(1.8)        x               x               ORG(1.8)        x               UCL(1.8)        x               UCL(1.8)        x               
Rn-q8           x               x               x               x               x               ORG(2.0)        x               x               ORG(2.0)        x               x               x               x               x               
Fr-NONE         x               x               x               x               x               x               x               x               x               x               x               x               x               x               
Ra-NONE         x               x               x               x               x               x               x               x               x               x               x               x               x               x               
Ac-NONE         x               x               x               x               x               x               x               x               x               x               x               x               x               x               
Th-NONE         x               x               x               x               x               x               x               x               x               x               x               x               x               x               
Pa-NONE         x               x               x               x               x               x               x               x               x               x               x               x               x               x               
U-NONE          x               x               x               x               x               x               x               x               x               x               x               x               x               x               
Np-NONE         x               x               x               x               x               x               x               x               x               x               x               x               x               x               
Pu-NONE         x               x               x               x               x               x               x               x               x               x               x               x               x               x               
Am-NONE         x               x               x               x               x               x               x               x               x               x               x               x               x               x               
Cm-NONE         x               x               x               x               x               x               x               x               x               x               x               x               x               x               
Bk-NONE         x               x               x               x               x               x               x               x               x               x               x               x               x               x               
Cf-NONE         x               x               x               x               x               x               x               x               x               x               x               x               x               x               
Es-NONE         x               x               x               x               x               x               x               x               x               x               x               x               x               x               
Fm-NONE         x               x               x               x               x               x               x               x               x               x               x               x               x               x               
Md-NONE         x               x               x               x               x               x               x               x               x               x               x               x               x               x               
No-NONE         x               x               x               x               x               x               x               x               x               x               x               x               x               x               
Lr-NONE         x               x               x               x               x               x               x               x               x               x               x               x               x               x               
Rf-NONE         x               x               x               x               x               x               x               x               x               x               x               x               x               x               
Db-NONE         x               x               x               x               x               x               x               x               x               x               x               x               x               x               
Sg-NONE         x               x               x               x               x               x               x               x               x               x               x               x               x               x               
Bh-NONE         x               x               x               x               x               x               x               x               x               x               x               x               x               x               
Hs-NONE         x               x               x               x               x               x               x               x               x               x               x               x               x               x               
Mt-NONE         x               x               x               x               x               x               x               x               x               x               x               x               x               x               
Ds-NONE         x               x               x               x               x               x               x               x               x               x               x               x               x               x               
Rg-NONE         x               x               x               x               x               x               x               x               x               x               x               x               x               x               
Cn-NONE         x               x               x               x               x               x               x               x               x               x               x               x               x               x               
Uut-NONE        x               x               x               x               x               x               x               x               x               x               x               x               x               x               
Fl-NONE         x               x               x               x               x               x               x               x               x               x               x               x               x               x               
Uup-NONE        x               x               x               x               x               x               x               x               x               x               x               x               x               x               
Lv-NONE         x               x               x               x               x               x               x               x               x               x               x               x               x               x               
Uus-NONE        x               x               x               x               x               x               x               x               x               x               x               x               x               x               
Uuo-NONE        x               x               x               x               x               x               x               x               x               x               x               x               x               x               
