atom-q    BLYP      BP        HCTH120   HCTH407   PADE      PBE       PBESOL    OLYP      

H-q1      AVAIL     AVAIL     AVAIL     AVAIL     AVAIL     AVAIL     x         AVAIL     
He-q2     AVAIL     AVAIL     x         x         AVAIL     AVAIL     x         x         
Li-q1     x         x         x         x         AVAIL     x         x         x         
Li-q3     AVAIL     AVAIL     x         x         AVAIL     AVAIL     x         x         
Be-q2     x         x         x         x         AVAIL     x         x         x         
Be-q4     AVAIL     AVAIL     x         x         AVAIL     AVAIL     x         x         
B-q3      AVAIL     AVAIL     x         x         AVAIL     AVAIL     x         x         
C-q4      AVAIL     AVAIL     AVAIL     AVAIL     AVAIL     AVAIL     x         x         
N-q5      AVAIL     AVAIL     AVAIL     AVAIL     AVAIL     AVAIL     x         x         
O-q6      AVAIL     AVAIL     AVAIL     AVAIL     AVAIL     AVAIL     x         AVAIL     
F-q7      AVAIL     AVAIL     AVAIL     x         AVAIL     AVAIL     x         x         
Ne-q8     AVAIL     AVAIL     x         x         AVAIL     AVAIL     x         x         
Na-q1     x         AVAIL     x         x         AVAIL     x         x         x         
Na-q9     AVAIL     AVAIL     x         x         AVAIL     AVAIL     x         x         
Mg-q2     AVAIL     x         x         x         AVAIL     AVAIL     x         x         
Mg-q10    AVAIL     AVAIL     x         x         AVAIL     AVAIL     x         x         
Al-q3     AVAIL     AVAIL     x         x         AVAIL     AVAIL     x         x         
Si-q4     AVAIL     AVAIL     x         x         AVAIL     AVAIL     x         x         
P-q5      AVAIL     AVAIL     AVAIL     x         AVAIL     AVAIL     x         x         
S-q6      AVAIL     AVAIL     x         x         AVAIL     AVAIL     x         x         
Cl-q7     AVAIL     AVAIL     x         x         AVAIL     AVAIL     x         x         
Ar-q8     AVAIL     AVAIL     AVAIL     x         AVAIL     AVAIL     x         x         
K-q1      x         x         x         x         AVAIL     x         x         x         
K-q9      AVAIL     AVAIL     x         x         AVAIL     AVAIL     x         x         
Ca-q2     x         x         x         x         AVAIL     x         x         x         
Ca-q10    AVAIL     AVAIL     x         x         AVAIL     AVAIL     x         x         
Sc-q3     x         x         x         x         AVAIL     x         x         x         
Sc-q11    AVAIL     AVAIL     x         x         AVAIL     AVAIL     x         x         
Ti-q4     x         x         x         x         AVAIL     x         x         x         
Ti-q12    AVAIL     AVAIL     x         x         AVAIL     AVAIL     x         x         
V-q5      x         x         x         x         AVAIL     x         x         x         
V-q13     AVAIL     AVAIL     x         x         AVAIL     AVAIL     x         x         
Cr-q6     x         x         x         x         AVAIL     x         x         x         
Cr-q14    AVAIL     AVAIL     x         x         AVAIL     AVAIL     x         x         
Mn-q7     x         x         x         x         AVAIL     x         x         x         
Mn-q15    AVAIL     AVAIL     x         x         AVAIL     AVAIL     x         x         
Fe-q8     x         x         x         x         AVAIL     x         x         x         
Fe-q16    AVAIL     AVAIL     x         x         AVAIL     AVAIL     x         x         
Co-q9     x         x         x         x         AVAIL     x         x         x         
Co-q17    AVAIL     AVAIL     x         x         AVAIL     AVAIL     x         x         
Ni-q10    x         x         x         x         AVAIL     x         x         x         
Ni-q18    AVAIL     AVAIL     x         x         AVAIL     AVAIL     x         x         
Cu-q1     x         x         x         x         AVAIL     x         x         x         
Cu-q11    AVAIL     AVAIL     x         x         AVAIL     AVAIL     x         x         
Cu-q19    AVAIL     x         x         x         AVAIL     AVAIL     x         x         
Zn-q2     x         x         x         x         AVAIL     x         x         x         
Zn-q12    AVAIL     AVAIL     x         x         AVAIL     AVAIL     x         x         
Zn-q20    AVAIL     x         x         x         AVAIL     AVAIL     x         x         
Ga-q3     AVAIL     x         x         x         AVAIL     AVAIL     x         x         
Ga-q13    AVAIL     AVAIL     x         x         AVAIL     AVAIL     x         x         
